#Transcript position	Transcript coverage profile
0.0	2732.4869512955443
1.0	3448.006139624901
2.0	3691.5934902497224
3.0	3609.2888681023255
4.0	3608.3445513313236
5.0	3617.180326274082
6.0	3623.6224605455814
7.0	3538.0301334269548
8.0	3287.3508931232723
9.0	3095.2367685151235
10.0	3083.6038495159846
11.0	3169.4197708677925
12.0	3852.808615758457
13.0	4057.0060192418905
14.0	3272.7912341074734
15.0	3026.901280312094
16.0	3882.332904480484
17.0	4326.662448530774
18.0	3014.5056533640036
19.0	3079.9873633103707
20.0	3522.0161439036606
21.0	4409.032921427672
22.0	3966.1472822594897
23.0	3879.7657272114097
24.0	3922.2358216039343
25.0	3785.060173499992
26.0	4067.9099446079576
27.0	4346.4739304079485
28.0	4514.638066612221
29.0	4843.852758220088
30.0	5312.8762367863765
31.0	5331.055143559408
32.0	5309.733289986278
33.0	5357.434590129423
34.0	5265.652669275844
35.0	5268.654707307014
36.0	5523.653370601806
37.0	5660.9876951786755
38.0	6203.476631811042
39.0	6681.371985379768
40.0	6852.924382311725
41.0	6779.413252796391
42.0	6705.613463870838
43.0	6854.293180748705
44.0	7220.216656364308
45.0	7915.638581234693
46.0	8475.407722771262
47.0	8590.242537390393
48.0	8419.803777159943
49.0	8337.114337821446
50.0	8338.055001043607
51.0	8910.954511479076
52.0	9439.238094314584
53.0	9302.551943136794
54.0	8999.167296760423
55.0	8670.556479962754
56.0	8681.917975161501
57.0	8721.259526553818
58.0	9128.613642858301
59.0	9615.931932999998
60.0	10003.746969145071
61.0	10245.88268066964
62.0	10914.365398031445
63.0	11622.863114552698
64.0	13345.527207518106
65.0	15247.05555006528
66.0	17350.51022480553
67.0	19400.800871492385
68.0	20548.004585605726
69.0	21318.87234246437
70.0	20933.728354570834
71.0	20919.29311898022
72.0	22017.94644772751
73.0	22656.33424766618
74.0	23285.125035373567
75.0	25605.24578474419
76.0	27731.480912735467
77.0	29273.482216154553
78.0	30756.553494644675
79.0	32117.42325043924
80.0	32795.56220093507
81.0	33889.21405723157
82.0	37078.83263007705
83.0	38046.285003695244
84.0	37860.50821851345
85.0	37210.61470330254
86.0	36168.11268159993
87.0	36561.487243558884
88.0	36180.561421688246
89.0	34484.70087178206
90.0	37408.8494373786
91.0	34571.41252369731
92.0	31296.9056312572
93.0	27533.694430356823
94.0	26401.619383535504
95.0	25129.31114117564
96.0	22702.231996209666
97.0	16767.53810502616
98.0	9283.22862940017
99.0	2323.933681699011
