#Transcript position	Transcript coverage profile
0.0	900.3181254091709
1.0	1189.0399932421897
2.0	1267.553870837077
3.0	1318.517217421709
4.0	1357.8400401638153
5.0	1361.6430692735387
6.0	1366.9392989562825
7.0	1292.2998589684491
8.0	1226.7643113375607
9.0	1168.3213311229595
10.0	1203.2786396400165
11.0	1388.5761050785813
12.0	1680.606450570943
13.0	1788.2921831575372
14.0	1615.036746449614
15.0	1341.4215398750187
16.0	1596.8596729833837
17.0	1727.0294060204196
18.0	1322.7613862371732
19.0	1344.1975760217827
20.0	1402.123310892661
21.0	1371.2771282927122
22.0	1411.7624286162575
23.0	1344.7998777155753
24.0	1335.8169024206304
25.0	1278.9546879188397
26.0	1465.6401189953617
27.0	1711.9794667734864
28.0	1827.780100121056
29.0	1950.9532236827351
30.0	2090.99632923296
31.0	1980.9369399440902
32.0	2144.07863682714
33.0	2393.2857060884735
34.0	2552.4023141467123
35.0	2577.575326599762
36.0	2694.900627560134
37.0	2629.8660659984325
38.0	2978.8290142938863
39.0	3347.8252412420143
40.0	3460.098921316027
41.0	3323.609981159977
42.0	2961.9985692662603
43.0	3099.4278219552166
44.0	3268.4099587428977
45.0	3526.732447788228
46.0	3597.390148827205
47.0	3514.380174257225
48.0	3196.4272741319774
49.0	3259.42828724605
50.0	3427.296133797029
51.0	3757.7753943911
52.0	4008.406826889848
53.0	3969.2301080147395
54.0	3879.88948756151
55.0	3898.1083760486795
56.0	3925.364333603345
57.0	3921.7499463537147
58.0	4087.9775236113937
59.0	4245.778640916547
60.0	4402.49390033955
61.0	4707.303948774539
62.0	5144.518002123928
63.0	5502.3168404355865
64.0	6434.621137321836
65.0	7395.3557886916215
66.0	8575.036758446557
67.0	9720.353626485048
68.0	10405.744332908518
69.0	10826.0131532208
70.0	10568.903139906886
71.0	10581.950989839499
72.0	11412.30271790816
73.0	11717.112413181552
74.0	11659.342911652933
75.0	12733.388547691702
76.0	13667.36704138686
77.0	14211.470960603703
78.0	14836.430396313228
79.0	15518.589139601125
80.0	15825.729710386608
81.0	16030.898222348254
82.0	16876.91276306558
83.0	16967.93398822967
84.0	16500.41141262652
85.0	15905.045600458248
86.0	15228.751115205847
87.0	15509.402546458794
88.0	15010.679467607153
89.0	13688.058383599406
90.0	13111.081829067054
91.0	12457.67383196973
92.0	10782.522863435663
93.0	8708.611319650232
94.0	7123.172797725303
95.0	5776.930947511683
96.0	4763.163955129491
97.0	3124.6477536813964
98.0	1554.7872376439957
99.0	295.45157297763586
