#Transcript position	Transcript coverage profile
0.0	3728.018937851027
1.0	4737.0847485343775
2.0	5115.583518284334
3.0	5197.810610751128
4.0	5129.667927938004
5.0	5052.949080156362
6.0	4933.15470825887
7.0	4769.311705485914
8.0	4479.7140295919835
9.0	4253.328388762579
10.0	4287.580074479692
11.0	4501.191806428333
12.0	4791.62232104277
13.0	4790.498642527461
14.0	4568.232808825342
15.0	4315.30996933161
16.0	4637.067069434289
17.0	4899.551175651266
18.0	4487.196087854769
19.0	4502.619935563061
20.0	4759.304267717647
21.0	4976.988472854464
22.0	4857.4939603916655
23.0	4737.759341150674
24.0	4713.273010505363
25.0	4570.1220906177405
26.0	4846.507824129588
27.0	5215.150837172465
28.0	5407.652247273379
29.0	5665.68732353662
30.0	5986.952898849097
31.0	5946.696488698464
32.0	5935.612949252363
33.0	6177.98320724374
34.0	6258.852032760016
35.0	6278.236997662309
36.0	6534.488486490449
37.0	6611.297315761674
38.0	7051.022796189965
39.0	7416.987985783195
40.0	7644.27406225884
41.0	7669.4502975570795
42.0	7471.6386323099205
43.0	7593.046242041546
44.0	7911.33605501821
45.0	8507.987244873684
46.0	8732.749781042381
47.0	8694.721632117096
48.0	8482.372415262082
49.0	8617.634041163368
50.0	8899.116763486585
51.0	9454.588151990292
52.0	9854.171034358093
53.0	9868.804899796802
54.0	9790.110981835163
55.0	9756.961149497585
56.0	9853.4701805901
57.0	9925.447958870298
58.0	10403.593069094462
59.0	10781.40809769743
60.0	11135.773677691057
61.0	11452.291377849677
62.0	12133.618011672315
63.0	12710.67006219576
64.0	13939.43252711188
65.0	15331.090243801344
66.0	16875.84735083261
67.0	18330.729257548544
68.0	19145.413095135173
69.0	19914.08905726374
70.0	19947.40747263561
71.0	20157.155242964647
72.0	21257.630411306167
73.0	22028.684617170115
74.0	22437.697093901046
75.0	23801.67283081216
76.0	25329.662548593013
77.0	26205.10698483814
78.0	27230.382469530297
79.0	28294.72515982384
80.0	28830.351762892384
81.0	29319.5537500739
82.0	30535.96867381439
83.0	30705.654338262404
84.0	30150.4315027667
85.0	29772.587519201956
86.0	29510.5928882394
87.0	29981.704542814103
88.0	29915.413925562858
89.0	29335.343830202306
90.0	31027.550077093176
91.0	29413.7621735172
92.0	27410.362080702398
93.0	25425.262374014408
94.0	23894.959671181758
95.0	22001.337480917507
96.0	19189.995783502443
97.0	14071.992735715314
98.0	7557.700224386135
99.0	1879.5435006272028
