#Transcript position	Transcript coverage profile
0.0	754.1669689966766
1.0	924.441191317945
2.0	960.5036012296349
3.0	961.8517560557685
4.0	1003.7340492585596
5.0	1044.3280616663912
6.0	1019.117219388206
7.0	961.4322460372429
8.0	911.5648010957316
9.0	847.0608556939492
10.0	842.3672817092
11.0	937.4103595646303
12.0	1488.417781712944
13.0	1734.9966765867455
14.0	1128.8216251656354
15.0	772.3400735397877
16.0	1212.5557133049592
17.0	1467.7462785065018
18.0	660.0105456558624
19.0	685.9136282881942
20.0	805.4337356995647
21.0	1526.0769857215141
22.0	1116.7896769428646
23.0	1106.4380688847266
24.0	1178.8947501027526
25.0	1144.3164549950154
26.0	1335.6559207079813
27.0	1563.9813231695834
28.0	1648.6069694166313
29.0	1812.9880827441154
30.0	2018.2027007189265
31.0	2075.727916011267
32.0	2252.6266483040954
33.0	2347.664846276104
34.0	2327.801232138407
35.0	2317.6994240840713
36.0	2414.266057729528
37.0	2383.828577707234
38.0	2696.658790624109
39.0	2997.491166262822
40.0	3037.0080765629186
41.0	2867.016551768891
42.0	2659.061873444768
43.0	2763.2865770199146
44.0	2890.075654291874
45.0	3122.2599573022007
46.0	3344.9798935185327
47.0	3437.140480068596
48.0	3282.1122598752418
49.0	3167.5204677066554
50.0	3049.4844454165327
51.0	3440.835030835286
52.0	3785.264922276684
53.0	3666.9597376061674
54.0	3417.048298239965
55.0	3185.8215205229253
56.0	3151.8620693624225
57.0	3039.243917202852
58.0	3160.503066447218
59.0	3308.8897955797556
60.0	3509.8259459092687
61.0	3727.7576739906394
62.0	4132.051140139037
63.0	4526.220545296339
64.0	5561.90441091613
65.0	6712.3933521120625
66.0	8081.790490374563
67.0	9407.607974414957
68.0	10032.135497281322
69.0	10183.194323341118
70.0	9624.950046217782
71.0	9517.830346913239
72.0	10296.956495119199
73.0	10492.734665689175
74.0	10597.440982179645
75.0	12035.704745676923
76.0	13154.306000356137
77.0	13916.27130773099
78.0	14736.50370156742
79.0	15526.147026801236
80.0	15872.87903061647
81.0	16423.00692949569
82.0	18252.49273404135
83.0	18684.748638882975
84.0	18391.55143446941
85.0	17817.047599907386
86.0	16853.497059760077
87.0	16970.466925795867
88.0	16464.632545933
89.0	15014.464326267604
90.0	16724.917370046565
91.0	14104.082301911585
92.0	11806.959802766536
93.0	9371.638940688654
94.0	8344.693110570332
95.0	7322.750227681635
96.0	6234.610155559814
97.0	3928.946168668257
98.0	1834.703283072835
99.0	299.19791688632193
