#Transcript position	Transcript coverage profile
0.0	2717.7868231125217
1.0	3341.2165735103135
2.0	3561.844705640017
3.0	3480.569269088381
4.0	3463.1356109614185
5.0	3490.962306164211
6.0	3505.953314893472
7.0	3437.3483034534574
8.0	3259.3957547652103
9.0	3118.4273051328037
10.0	3118.548253385386
11.0	3236.574697973449
12.0	3855.663320072621
13.0	4068.262155526793
14.0	3432.774975869283
15.0	3115.195700337486
16.0	3639.558828965398
17.0	3966.286581264702
18.0	3141.276434071239
19.0	3183.8968847749506
20.0	3533.106541320191
21.0	4354.870169848913
22.0	3976.596700433646
23.0	3847.2665859713115
24.0	3904.340313249594
25.0	3805.105590635942
26.0	4091.5724517187427
27.0	4353.362642195052
28.0	4480.095776221397
29.0	4756.905201745106
30.0	5170.85920877498
31.0	5279.388456730627
32.0	5358.884051483704
33.0	5466.280019893706
34.0	5412.612357963067
35.0	5449.850775422258
36.0	5659.122284386259
37.0	5735.299523988595
38.0	6109.049826953013
39.0	6427.276921906767
40.0	6572.682455522147
41.0	6536.290018159134
42.0	6466.289066151638
43.0	6530.071801063151
44.0	6817.595524632992
45.0	7409.732098998476
46.0	7874.7052994834385
47.0	7994.385847562768
48.0	7862.783535491268
49.0	7811.630043256421
50.0	7802.884647748098
51.0	8250.353159590879
52.0	8702.070503988767
53.0	8611.830140047117
54.0	8420.7057969837
55.0	8234.710840651072
56.0	8309.333603209423
57.0	8329.546821193362
58.0	8698.003068688966
59.0	9059.642011020864
60.0	9346.6370556887
61.0	9547.168175046361
62.0	10131.694076970973
63.0	10715.055881912655
64.0	11997.375375490157
65.0	13524.11855024454
66.0	15139.812725447522
67.0	16727.702071580105
68.0	17567.235418740034
69.0	18172.163014243753
70.0	17820.94662414163
71.0	17796.5504807317
72.0	18704.3076732565
73.0	19254.721507385362
74.0	19632.71063977816
75.0	21256.11218410788
76.0	22842.566166763234
77.0	23904.688632035846
78.0	24950.996867000962
79.0	26033.927757959904
80.0	26616.884494621965
81.0	27396.193973736885
82.0	29552.29003876258
83.0	30090.32396158523
84.0	29685.47910300049
85.0	29136.199944925054
86.0	28426.19846689879
87.0	28670.03393328365
88.0	28471.536741217307
89.0	27612.73981344443
90.0	30764.077973030468
91.0	28154.224430546496
92.0	25625.88504722206
93.0	23185.749430718817
94.0	22370.85979406026
95.0	21170.265539897584
96.0	19036.107771249302
97.0	14164.700245504213
98.0	7850.31507644544
99.0	1999.2052522639763
