#Transcript position	Transcript coverage profile
0.0	5184.121917588333
1.0	5870.296956779709
2.0	6090.982110019538
3.0	6057.364800311706
4.0	6015.310090104078
5.0	6045.16391681257
6.0	6089.5098071123975
7.0	6004.885368874718
8.0	5730.996325056929
9.0	5602.3085129514475
10.0	5576.971527456731
11.0	5744.5269224627
12.0	6179.535167747195
13.0	6227.611085012385
14.0	5858.170192697191
15.0	5327.54263367014
16.0	5575.198117677686
17.0	5772.801806739406
18.0	5200.038348059686
19.0	5275.794840526236
20.0	5513.159547768521
21.0	5935.15767847896
22.0	5769.083855181089
23.0	5559.164769882344
24.0	5566.089284117457
25.0	5601.992304551479
26.0	6085.854174319009
27.0	6514.862312687401
28.0	6572.507004236508
29.0	6864.950878091898
30.0	7154.9714040714325
31.0	7113.566087586063
32.0	7428.0883396347
33.0	7752.0820521599
34.0	7740.109410689614
35.0	7700.665936872166
36.0	7975.296414180817
37.0	8136.8716332589465
38.0	8482.234650943681
39.0	8838.167841162254
40.0	9072.912489858301
41.0	9072.90214694747
42.0	8926.857318818167
43.0	9098.379403926743
44.0	9442.328473562337
45.0	10060.539372250816
46.0	10331.015046996697
47.0	10356.301067776898
48.0	10151.298946312074
49.0	10385.287909295052
50.0	10602.82646147743
51.0	11194.558283079636
52.0	11600.747509274277
53.0	11572.855457933314
54.0	11465.544677971164
55.0	11355.675457529302
56.0	11255.06239588938
57.0	10992.673056781137
58.0	11224.758674181172
59.0	11532.13536749371
60.0	11776.319728959337
61.0	12082.201054262143
62.0	12547.59224485884
63.0	12966.648362504906
64.0	13994.937671955538
65.0	15298.6067132941
66.0	16755.017153615638
67.0	18235.82556252021
68.0	19025.645852347796
69.0	19798.167821315164
70.0	19719.796970097294
71.0	19796.649912627177
72.0	20630.7072912549
73.0	20960.887386132723
74.0	20912.40498588257
75.0	22151.81456699747
76.0	23115.5928783985
77.0	23704.264261247365
78.0	24394.996574195688
79.0	25386.67199849984
80.0	25997.90051552981
81.0	26570.394759772687
82.0	27847.437523957644
83.0	27958.96917752445
84.0	26910.844304115944
85.0	25939.13058745639
86.0	25325.111562800117
87.0	25473.777294246855
88.0	24847.587217627235
89.0	23569.87216138501
90.0	24033.289794357825
91.0	22213.887266099435
92.0	19672.897799968723
93.0	17257.775223096924
94.0	15916.691508967262
95.0	14362.93244793686
96.0	12328.773498365825
97.0	8747.835163471134
98.0	4779.352846838269
99.0	1247.6002596651297
