#Transcript position	Transcript coverage profile
0.0	4461.287276967
1.0	5042.500456372401
2.0	5249.551931341621
3.0	5252.681130731499
4.0	5262.768963797217
5.0	5255.162707340564
6.0	5246.949990214707
7.0	5122.246339371007
8.0	4919.606076201619
9.0	4791.084270803792
10.0	4752.738201948143
11.0	4906.555920921889
12.0	5380.502989756526
13.0	5516.074111034352
14.0	5073.451130327367
15.0	4540.4420783166925
16.0	4706.378415581804
17.0	4817.517734669248
18.0	4307.413650180644
19.0	4372.895508077913
20.0	4597.810365454091
21.0	5090.475401497417
22.0	4826.123457453468
23.0	4763.8815307279265
24.0	4956.518787220477
25.0	5064.532986214864
26.0	5585.249751757544
27.0	6031.31451592918
28.0	6077.909200158255
29.0	6335.185372854923
30.0	6502.80518286973
31.0	6585.844023289934
32.0	6986.6934256848235
33.0	7145.474503459356
34.0	7083.885644551206
35.0	7169.015139988748
36.0	7357.5425221998385
37.0	7490.938334698581
38.0	7678.177559570038
39.0	7849.001646865466
40.0	8037.762901643317
41.0	7970.333631681981
42.0	7829.470581591012
43.0	7924.56695496686
44.0	8177.800970959671
45.0	8746.2015049961
46.0	9112.835411663826
47.0	9325.21474537947
48.0	9292.435500040929
49.0	9493.102465524906
50.0	9540.392928431113
51.0	10076.98325959408
52.0	10330.10262389525
53.0	10267.160599248096
54.0	10168.066696013
55.0	10251.503930883124
56.0	10315.695570973907
57.0	10032.578834330103
58.0	10130.408064102985
59.0	10189.201563337694
60.0	10334.691364292776
61.0	10659.668983899672
62.0	11168.610978209419
63.0	11473.290642099808
64.0	12112.396793675318
65.0	13025.73605096184
66.0	14013.94868981278
67.0	15108.546472753982
68.0	15621.88410731803
69.0	16238.478680736118
70.0	15975.60191154115
71.0	15838.283925699603
72.0	16339.22675752703
73.0	16540.140786669024
74.0	16326.794892370985
75.0	17230.941728885267
76.0	17888.75276236786
77.0	18269.28034837192
78.0	18644.986745997114
79.0	19332.862444714
80.0	19719.920083372395
81.0	20142.70805347494
82.0	21168.79038597821
83.0	21177.535080171554
84.0	20185.901177431897
85.0	19427.97714762406
86.0	18975.83735485824
87.0	19019.661537686785
88.0	18672.974428945774
89.0	17938.053812639995
90.0	18908.440419545615
91.0	17470.196406745767
92.0	15418.243546916374
93.0	13639.048776600517
94.0	12719.112357254442
95.0	11447.017637518224
96.0	9738.393997151214
97.0	6804.1923135628585
98.0	3698.473962106027
99.0	963.902796347842
