#Transcript position	Transcript coverage profile
0.0	2534.143915751761
1.0	3106.7053722845844
2.0	3329.0855843921904
3.0	3348.681564379208
4.0	3261.551002698266
5.0	3217.6803009151945
6.0	3112.7755559419343
7.0	2986.7120971546988
8.0	2799.874807986377
9.0	2632.493579252782
10.0	2611.97724879527
11.0	2770.210250097876
12.0	3060.70595102475
13.0	3098.2732718683733
14.0	2885.136505635596
15.0	2517.2995010833997
16.0	2762.745367040659
17.0	2912.9539392686092
18.0	2486.8985110162444
19.0	2519.8918992323315
20.0	2645.887484397278
21.0	2706.1901500009717
22.0	2603.7056177385966
23.0	2523.9705663995824
24.0	2535.6338932021526
25.0	2470.4097867152104
26.0	2750.4449820595482
27.0	3089.9210724273726
28.0	3140.4989756548466
29.0	3285.3638537361317
30.0	3473.090298157306
31.0	3392.828213048022
32.0	3610.861104062246
33.0	3875.950296716822
34.0	3858.162446869865
35.0	3854.367557940747
36.0	4009.8277034183193
37.0	4073.0499895440566
38.0	4348.869568871143
39.0	4567.661647875789
40.0	4680.208163892231
41.0	4676.249524321322
42.0	4347.200768830527
43.0	4430.040901143335
44.0	4647.43242074958
45.0	5082.360929757655
46.0	5294.493329236994
47.0	5182.568409850593
48.0	5001.410645208065
49.0	5159.242984318452
50.0	5324.873401406442
51.0	5671.74646591636
52.0	5894.719363934651
53.0	5909.5200544148975
54.0	5884.25671816674
55.0	5802.125251188616
56.0	5565.521811613146
57.0	5271.709829910857
58.0	5440.130587376205
59.0	5668.95719490675
60.0	5797.203122677349
61.0	5937.379855594856
62.0	6225.713088556758
63.0	6566.477781721462
64.0	7358.073590222653
65.0	8210.783637110006
66.0	9150.42052918878
67.0	9988.273700033633
68.0	10482.601355141158
69.0	10924.449267490409
70.0	10694.918411841929
71.0	10774.486924860872
72.0	11249.406123579573
73.0	11533.038758265197
74.0	11467.855177119302
75.0	12478.244131863212
76.0	13455.311193854923
77.0	13890.806578807353
78.0	14353.975741265836
79.0	14768.81386556883
80.0	14941.19345824532
81.0	15197.419723859633
82.0	16056.748321326408
83.0	16048.238542424764
84.0	15498.701882041913
85.0	15156.550084107485
86.0	14961.283010186828
87.0	15313.04097841048
88.0	15138.519465604957
89.0	14462.846618569078
90.0	15160.080919027701
91.0	14309.292040764582
92.0	12628.03693716226
93.0	11042.486953411832
94.0	10363.469251438613
95.0	9461.14142060991
96.0	8184.874385622045
97.0	5838.1204464605
98.0	3100.375914196144
99.0	795.8341181506818
