#Transcript position	Transcript coverage profile
0.0	2764.712926425296
1.0	3251.670470580252
2.0	3463.5232728922147
3.0	3516.737560834318
4.0	3543.9727258941925
5.0	3566.76428606461
6.0	3558.3792257822515
7.0	3497.919429278547
8.0	3339.7665008971135
9.0	3248.02978782471
10.0	3243.3241531479616
11.0	3501.155957702433
12.0	3945.145988971982
13.0	4059.9086522236457
14.0	3807.057860222419
15.0	3465.9351921546017
16.0	3673.4638834298903
17.0	3773.9858532862195
18.0	3502.498770939371
19.0	3571.657475240358
20.0	3801.4701275564375
21.0	4103.942842906138
22.0	3919.581981266286
23.0	3824.927281599233
24.0	3952.536757265631
25.0	4064.1734148338232
26.0	4531.146716727644
27.0	4968.375487027328
28.0	5066.263406067435
29.0	5291.335262112858
30.0	5554.682037089733
31.0	5543.076494330927
32.0	5802.888357673046
33.0	6039.551347367355
34.0	6115.60040942917
35.0	6176.245609726206
36.0	6525.875837807795
37.0	6796.654067412934
38.0	7158.956858293429
39.0	7448.729056757171
40.0	7676.9983402768785
41.0	7708.870189839342
42.0	7577.2778119559
43.0	7753.150384162703
44.0	8139.8821867797615
45.0	8768.489866723427
46.0	8977.951271693328
47.0	8931.474064108326
48.0	8685.451924532894
49.0	8895.957895877204
50.0	9172.339814196923
51.0	9712.888533210946
52.0	10089.493208567112
53.0	10175.623656373991
54.0	10125.250961204378
55.0	10268.993803401225
56.0	10470.449364120139
57.0	10413.090358327065
58.0	10715.061086287791
59.0	10910.9193436889
60.0	11289.111680991153
61.0	11852.974139677006
62.0	12505.086579288127
63.0	12865.282105719349
64.0	13503.550848839212
65.0	14583.19003562625
66.0	15797.990323629574
67.0	16996.31342594579
68.0	17596.577133601524
69.0	18324.65277984143
70.0	18353.25024641014
71.0	18471.91202446612
72.0	19346.822133849375
73.0	19811.51365698482
74.0	19804.39159784457
75.0	20746.98106698655
76.0	21699.064053633327
77.0	22190.306377346275
78.0	22689.28016914962
79.0	23445.699711138368
80.0	24000.269983008653
81.0	24257.931773563698
82.0	25045.54855856677
83.0	24863.833403805464
84.0	23831.139214431005
85.0	23071.32661550112
86.0	22685.175862633034
87.0	22854.982940888473
88.0	22640.33116763873
89.0	22104.678513991672
90.0	22730.917312447153
91.0	21338.06927487572
92.0	19333.995392790708
93.0	17835.80117524358
94.0	16539.42020610079
95.0	14692.275563416157
96.0	12276.715437187027
97.0	8581.831945469141
98.0	4517.220955576751
99.0	1172.2784605119357
