#Transcript position	Transcript coverage profile
0.0	934.8549121329627
1.0	1003.6239327678597
2.0	999.8288254622273
3.0	1010.993792567376
4.0	1045.8962106708375
5.0	1123.5994722406863
6.0	1186.857993900854
7.0	1147.5485087345062
8.0	1067.968820445927
9.0	1030.5397019310012
10.0	1008.1764208363672
11.0	1222.2502201682278
12.0	1581.8210674009606
13.0	1676.8309146812653
14.0	1396.4472183997002
15.0	1035.3684439934325
16.0	1192.0107048877878
17.0	1242.6484534067483
18.0	1001.7806998869482
19.0	1037.0792071229926
20.0	1055.4607496246574
21.0	1267.2676923200704
22.0	1088.2292066630312
23.0	1128.9541544077686
24.0	1206.6743696151507
25.0	1265.3415173016201
26.0	1615.2973282152184
27.0	1992.0464358753754
28.0	2113.1691743744577
29.0	2244.382653748293
30.0	2372.142159189333
31.0	2354.481049379186
32.0	2700.396127774272
33.0	2904.345302395502
34.0	2968.901123351473
35.0	2980.7952779693105
36.0	3206.0153760243393
37.0	3394.4200327164845
38.0	3768.993002006135
39.0	4056.6442246603747
40.0	4133.95732178196
41.0	4018.8715442631733
42.0	3743.3841199872027
43.0	3900.8779388530506
44.0	4172.18595132461
45.0	4468.256775239099
46.0	4387.142658082715
47.0	4306.578204797943
48.0	4027.2984925022256
49.0	4247.419388352965
50.0	4536.354297580176
51.0	4956.417230395006
52.0	5210.104966956649
53.0	5212.269140179265
54.0	5142.1810898950125
55.0	5233.1787498027425
56.0	5274.091671975001
57.0	5185.341273804833
58.0	5318.317681037717
59.0	5363.614815472177
60.0	5568.826959287704
61.0	6042.083355832055
62.0	6399.090227235436
63.0	6491.666358579219
64.0	6879.932369635224
65.0	7578.502871090985
66.0	8536.597484662212
67.0	9472.808532741139
68.0	9825.55517990918
69.0	10206.839474750812
70.0	10026.861005735766
71.0	10055.705289553738
72.0	10686.3397282925
73.0	10684.843857362452
74.0	10359.60533092816
75.0	11092.955905325834
76.0	11590.35535841679
77.0	11783.472249702892
78.0	12074.629499811728
79.0	12590.78765067059
80.0	12896.820523737644
81.0	12865.536857909136
82.0	13399.101746111664
83.0	13205.398735097495
84.0	12304.971751408573
85.0	11359.832341315607
86.0	10805.02859507493
87.0	10902.693985869279
88.0	10420.244986729673
89.0	9525.603800338991
90.0	8974.75851224247
91.0	8307.2341507489
92.0	6782.5404005274195
93.0	5472.66854859756
94.0	4518.254806051482
95.0	3461.2930185147716
96.0	2791.298581443976
97.0	1704.7896452146103
98.0	850.8333375553298
99.0	177.37014699072643
