#Transcript position	Transcript coverage profile
0.0	2844.2410651373184
1.0	3616.530042726469
2.0	3908.8993023936246
3.0	3994.471211710275
4.0	3945.1870223137457
5.0	3886.9061323190713
6.0	3786.4385950116725
7.0	3671.157560030696
8.0	3478.280254872534
9.0	3348.139826425655
10.0	3352.3410804390637
11.0	3510.760609975699
12.0	3810.2080233673323
13.0	3872.8144810367503
14.0	3632.3396146932923
15.0	3408.9198592202474
16.0	3632.6637645673677
17.0	3798.3668465362625
18.0	3546.667684575474
19.0	3582.1661476712343
20.0	3771.506435675569
21.0	3996.5335928385994
22.0	3850.021177782815
23.0	3753.6951505572583
24.0	3705.208778700132
25.0	3635.778386552678
26.0	3907.294893351229
27.0	4155.256978822949
28.0	4265.104361381738
29.0	4447.391232100094
30.0	4659.472095919001
31.0	4693.8211733517355
32.0	4746.6455620892375
33.0	4869.215905581604
34.0	4907.84088448718
35.0	4872.669618961169
36.0	5100.989862335329
37.0	5202.634796048023
38.0	5558.7107722294195
39.0	5838.266308851945
40.0	5998.0766400127095
41.0	5963.073284658171
42.0	5698.756185571051
43.0	5746.204920211476
44.0	5887.804399456117
45.0	6315.788907633071
46.0	6586.779128972082
47.0	6515.714544765525
48.0	6390.718606523816
49.0	6512.866699783152
50.0	6677.217730717027
51.0	7078.127692951437
52.0	7348.68398273749
53.0	7401.830847995918
54.0	7411.180397114807
55.0	7378.939468836055
56.0	7452.170161995649
57.0	7457.613424082312
58.0	7678.688744655338
59.0	7884.893776436866
60.0	8122.00970990178
61.0	8403.148973298465
62.0	8902.322044295965
63.0	9311.432484644236
64.0	9998.200151128265
65.0	10837.090483887092
66.0	11725.517486776987
67.0	12524.9852568116
68.0	13023.626174897721
69.0	13570.497943073691
70.0	13724.304779797101
71.0	13852.192044554888
72.0	14537.382727524728
73.0	15029.336668189822
74.0	15371.054778035694
75.0	16262.76899912804
76.0	17189.84620725725
77.0	17700.328633572077
78.0	18423.90987108151
79.0	19153.866856899283
80.0	19578.043543255306
81.0	19935.08972820522
82.0	20798.670730114234
83.0	21035.07029637846
84.0	20897.077684602486
85.0	20808.04274435101
86.0	20717.23653115146
87.0	21004.871450165923
88.0	20957.987545481472
89.0	20546.799458752394
90.0	21518.408391095072
91.0	20590.87814915134
92.0	19453.923640771107
93.0	18141.10125967677
94.0	16976.05299917804
95.0	15683.421805249309
96.0	13745.769371932787
97.0	10290.917977332241
98.0	5695.544246670831
99.0	1470.5194780019597
