#Transcript position	Transcript coverage profile
0.0	741.2993707089144
1.0	837.8918141719489
2.0	839.3039652981765
3.0	845.2927001272333
4.0	884.579278261101
5.0	930.7547662543715
6.0	989.2869425735951
7.0	938.936475848331
8.0	880.5138614691992
9.0	897.5993738014212
10.0	916.7138051426298
11.0	1125.0945266325234
12.0	1420.8174209736737
13.0	1507.625162276272
14.0	1331.580719877966
15.0	1043.504633781794
16.0	1109.2818499331595
17.0	1118.4043008053131
18.0	1039.3551332070779
19.0	1083.1113006199412
20.0	1112.0867310267947
21.0	1279.939027823571
22.0	1195.0439100846281
23.0	1285.6427154559858
24.0	1435.1397607199478
25.0	1528.160442664782
26.0	1805.9632180694543
27.0	2141.9714381419385
28.0	2192.6797628820323
29.0	2308.2900100078896
30.0	2386.643763407381
31.0	2298.5902102614396
32.0	2572.3721632384777
33.0	2811.4139308549543
34.0	2923.07824226439
35.0	2895.346374518206
36.0	3148.088447698611
37.0	3320.6539137957675
38.0	3499.10985806888
39.0	3721.1553934664
40.0	3783.3865766131344
41.0	3545.6085905415293
42.0	3223.8925984511666
43.0	3412.6852548616966
44.0	3615.3521419506483
45.0	3888.2122446889266
46.0	3932.6154089259358
47.0	3880.583100112671
48.0	3724.7110285174017
49.0	3957.9098991025553
50.0	4130.457170066631
51.0	4500.183709872946
52.0	4715.335563547063
53.0	4819.279993450429
54.0	4889.355021240504
55.0	5138.744740554342
56.0	5321.76748315221
57.0	5314.437996599297
58.0	5373.261668204358
59.0	5295.1257476991395
60.0	5515.566106445152
61.0	6006.986709860321
62.0	6369.69010480314
63.0	6271.9729973254
64.0	6165.6093998943215
65.0	6501.300584262643
66.0	7037.330818698365
67.0	7629.331636520985
68.0	7838.4452013273185
69.0	8134.778423380613
70.0	8180.266702373113
71.0	8086.492107863651
72.0	8468.05027424913
73.0	8471.120975251551
74.0	8344.588949526757
75.0	8762.92426916454
76.0	9061.725757396136
77.0	9141.683700115293
78.0	9337.79022856716
79.0	9748.490340532137
80.0	9987.959543768535
81.0	10041.817600414553
82.0	10449.018332975493
83.0	10552.586676282803
84.0	10163.251124453329
85.0	9524.041206369426
86.0	8975.848458781087
87.0	8904.299514208522
88.0	8401.684401715778
89.0	7592.029567802862
90.0	6969.776257779694
91.0	6419.071169085347
92.0	5449.072773049986
93.0	4483.87154622668
94.0	3523.2212844123924
95.0	2612.38613854255
96.0	2031.4683680360133
97.0	1233.343911843471
98.0	601.2110422054209
99.0	137.92560840736166
