#Transcript position	Transcript coverage profile
0.0	3116.280055932825
1.0	3647.8326321804857
2.0	3836.326716232471
3.0	3905.2399414647953
4.0	3934.4571239716297
5.0	3893.5779735295264
6.0	3837.1182408985483
7.0	3714.8073296393336
8.0	3556.8646024340173
9.0	3508.58230529351
10.0	3533.3179050824274
11.0	3790.7581181414835
12.0	4143.707667253811
13.0	4251.531493909906
14.0	4076.4977423747164
15.0	3795.2299359331205
16.0	3926.714066086444
17.0	3945.934983272552
18.0	3839.0000679007894
19.0	3944.444313940957
20.0	4086.6642839587807
21.0	4301.1860691056845
22.0	4198.706847980226
23.0	4246.089764365066
24.0	4386.980931775224
25.0	4468.600088662138
26.0	4867.005072608505
27.0	5270.317708250259
28.0	5345.666824170339
29.0	5530.799145128223
30.0	5702.14583571346
31.0	5652.448408239627
32.0	5847.903743266731
33.0	6077.751206991649
34.0	6178.806730224745
35.0	6241.332190844618
36.0	6609.077488106748
37.0	6846.87974071915
38.0	7093.841788543057
39.0	7358.969493883927
40.0	7610.84142315883
41.0	7550.438513823057
42.0	7330.2875638979285
43.0	7527.708276258438
44.0	7848.808095124179
45.0	8410.057450088116
46.0	8692.982772748519
47.0	8701.227720876019
48.0	8628.881329447811
49.0	8866.159284019555
50.0	8972.944437484248
51.0	9415.750720350681
52.0	9738.879717248408
53.0	9925.479324549326
54.0	10032.673646496014
55.0	10336.793520633542
56.0	10633.802089494155
57.0	10698.54968259461
58.0	10959.723810511372
59.0	11077.666027085033
60.0	11527.186907699179
61.0	12158.314808344341
62.0	12851.455043827591
63.0	13012.150279447633
64.0	13141.748069936279
65.0	13753.64960142312
66.0	14530.549376228471
67.0	15390.102294507635
68.0	15865.8075174837
69.0	16409.46691135906
70.0	16670.93838135718
71.0	16737.226495849987
72.0	17403.493367413786
73.0	17827.64585694349
74.0	17984.075719546032
75.0	18620.63857364068
76.0	19316.771955319047
77.0	19662.476222319794
78.0	20087.978238090454
79.0	20868.415293249123
80.0	21319.053694972383
81.0	21563.05728151127
82.0	22096.39148851625
83.0	22191.253846126176
84.0	21728.231743405475
85.0	21400.1850963469
86.0	21187.659723747183
87.0	21247.337458829694
88.0	21064.079730797683
89.0	20660.52260993364
90.0	21062.662806886212
91.0	20019.102985392714
92.0	18742.222808421826
93.0	17500.799327318284
94.0	15988.298943165833
95.0	14175.6011273717
96.0	11754.049892284074
97.0	8252.902540568444
98.0	4347.042867961288
99.0	1113.2732486796162
