#Transcript position	Transcript coverage profile
0.0	521.6564548059199
1.0	628.372171189101
2.0	661.637344845414
3.0	685.362722355297
4.0	733.8847809642723
5.0	785.6642456627079
6.0	805.0022015775428
7.0	767.4551782341998
8.0	716.9471247296179
9.0	665.4358243918975
10.0	662.4736142182454
11.0	747.3080088286466
12.0	1089.7548061829934
13.0	1237.6441443486403
14.0	916.4638710989967
15.0	683.8423318359283
16.0	863.1305920427051
17.0	954.5250114187389
18.0	572.3996364582695
19.0	567.8589807373081
20.0	638.734849196169
21.0	1030.2063846292951
22.0	820.1331259561418
23.0	799.2536250556997
24.0	862.3190271956795
25.0	825.4907531296296
26.0	935.3149179105325
27.0	1124.6019745419728
28.0	1229.8549480403478
29.0	1369.6901217185766
30.0	1565.1342975337193
31.0	1677.6532215768364
32.0	1875.0203281427455
33.0	1975.7512766992652
34.0	1948.735096116362
35.0	1943.0460781943325
36.0	2000.0056390698958
37.0	1974.880244172615
38.0	2163.1106535080185
39.0	2318.338797584539
40.0	2383.4650703786842
41.0	2299.613989968012
42.0	2229.8932993624508
43.0	2328.597122463316
44.0	2467.140395539774
45.0	2695.7771026401183
46.0	2818.720238206069
47.0	2928.0308999071462
48.0	2736.235289700119
49.0	2670.882119309999
50.0	2614.969984432426
51.0	2852.766332597584
52.0	3032.8404143632592
53.0	2900.7356536123834
54.0	2720.973169285426
55.0	2656.169800007116
56.0	2705.2737123320458
57.0	2738.4075466979325
58.0	2869.9395657563136
59.0	3051.3113803329907
60.0	3237.9599945088453
61.0	3481.166694526536
62.0	3924.4140726635633
63.0	4392.608654324194
64.0	5111.219292036783
65.0	5919.1312014679315
66.0	6904.766630653778
67.0	7855.843583253502
68.0	8411.882398168222
69.0	8695.233046957936
70.0	8248.774809532913
71.0	8278.879088598622
72.0	9044.920333744894
73.0	9327.224310229882
74.0	9217.429431661061
75.0	10093.9770471931
76.0	10862.4827510399
77.0	11397.074259503748
78.0	12051.99706561766
79.0	12713.64399354008
80.0	13106.486992927987
81.0	13372.394682188302
82.0	14252.281764832
83.0	14202.989227635402
84.0	13368.48556630249
85.0	12628.65438296008
86.0	11971.381930105728
87.0	11938.743476145952
88.0	11527.155921575395
89.0	10517.781998803415
90.0	10113.01123094681
91.0	9504.91851684447
92.0	7959.6362571587815
93.0	6404.709732429768
94.0	5650.656293748499
95.0	4765.677255318597
96.0	3927.336295855388
97.0	2528.354569559731
98.0	1182.8171440900821
99.0	208.61350823771437
